Country,Year,Population,Pop %,Deaths from All Causes,Deaths from External Causes,ASDR from All Causes,ASDR from External Causes,Raw Ratio,% Deaths Caused by External Factors
Mexico,2009,116815612,0.056607243,550946,64549,586,58.2,0.117160302,0.099317406
Netherlands,2009,16530388,0.008010399,134235,5618,415.5,22.4,0.041851976,0.053910951
Moldova,2009,3565604,0.001727843,42139,3460,983.2,86,0.08210921,0.087469487
Russia,2009,141909244,0.068767272,2010543,224576,980,133.7,0.111699178,0.136428571
Singapore,2009,3733888,0.001809391,16013,762,374.9,18.4,0.047586336,0.049079755
South Africa,2009,50992034,0.02471004,572673,49357,1487.6,104.5,0.086187056,0.070247378
Spain,2009,45929477,0.022256794,384933,14496,382.1,21.5,0.037658502,0.056267993
Sweden,2009,9298515,0.004505933,90177,4717,392.4,32.1,0.052308238,0.081804281
Turkey,2009,72039206,0.034909211,281504,11289,457.8,16.5,0.04010245,0.03604194
Ukraine,2009,45872976,0.022229415,706739,48936,947.1,89.9,0.069241969,0.094921339
United Arab Emirates,2009,7705423,0.003733942,7788,1438,485.5,23.2,0.184643041,0.047785788
United Kingdom,2009,61791956,0.029943534,559617,21081,430.3,24.8,0.037670407,0.057634209
United States,2009,307231961,0.148880393,2437944,180171,484.2,50.4,0.073902846,0.104089219
Venezuela,2009,28558607,0.013839109,134733,29398,601.1,103.5,0.218194503,0.172184329
WORLD - reporting countries,2009,2063616006,1,17078805,1344575,45840.8,3978.5,0.078727698,0.092311954
Argentina,2010,41222875,0.019823928,316298,18640,601.6,43.1,0.058931767,0.071642287
Armenia,2010,2963496,0.001425134,27921,1249,740.1,38.2,0.044733355,0.051614647
Australia,2010,22297515,0.010722793,143473,8981,357.8,31.6,0.062597144,0.088317496
Bahrain,2010,1228285,0.000590678,2401,181,497.3,16.7,0.075385256,0.033581339
Brazil,2010,198614208,0.095512838,1136946,143440,662.8,71.5,0.126162544,0.107875679
Canada,2010,34126173,0.01641115,240075,16258,379.4,35.3,0.067720504,0.093041645
Colombia,2010,45918101,0.022081845,200522,33597,531.3,71.9,0.167547701,0.13532844
Croatia,2010,4417781,0.002124495,52096,2968,600.2,44.7,0.056971744,0.074475175
Egypt,2010,82040994,0.039453211,491609,19237,863.8,24.5,0.039130691,0.028363047
El Salvador,2010,6038306,0.002903799,32586,5757,605.5,99.4,0.176670963,0.16416185
Estonia,2010,1340160,0.000644478,15781,1135,617.1,69,0.071921931,0.11181332
France,2010,62932343,0.030263931,541576,37805,383.1,37,0.069805531,0.096580527
Germany,2010,81757471,0.039316866,858768,33312,429,24.7,0.038790453,0.057575758
Guatemala,2010,14732261,0.00708469,72748,13022,709.8,103.8,0.179001485,0.146238377
Hungary,2010,10000024,0.004808975,130456,7073,688.1,48.6,0.054217514,0.070629269
Israel,2010,7623561,0.003666142,39418,1981,372.8,23,0.050256228,0.061695279
Italy,2010,60483386,0.029086237,584615,24031,361.9,21.9,0.041105685,0.060513954
